។ល។	/laʔ/
បរទេស	/bɑɑrəteeh/
បរិភោគ	/bɑɑreʔpʰook/
បរិមាណ	/paʔreʔmaan/
បរិយាកាស	/paʔreʔyaakaah/
បរិវេណ	/bɑɑreʔveen/
បរិស្ថាន	/bɑɑreʔstʰaan/
បស់	/bɑh/
ប៉ា	/paa/
បាក់	/bak/
ប៉ាក់	/pak/
បាក់តេរី	/bakteerii/
ប៉ាក់ប៉ើក	/pak paək/
បាំង	/baŋ/
បាងកក	/baaŋ kɑɑk/
បាំងវាំងនន	/baŋ veaŋ nɔɔn/
បាច	/baac/
បាច់	/bac/
បាញ់	/baɲ/
បាត	/baat/
បាត់	/bat/
ប៉ាត	/paat/
បាតដៃ	/baat day/
បាតទន្លេ	/baat tʊənlee/
បាត់បង់	/bat bɑŋ/
បាត់បង់ជីវិត	/bat bɑŋ ciivɨt/
បាតសមុទ្រ	/baat saʔmot/
បាត់ស្រេក	/bat sreek/
បាត្រ	/baat/
បាទ	/baat/
បាន	/baan/
ប៉ាន់តែ	/pan tae/
បានន័យថា	/baan ney tʰaa/
ប៉ាន់ស្មាន	/pan smaan/
បាប	/baap/
បាយ	/baay/
បាយៗ	/baay baay/
បាយដំណើប	/baay dɑmnaəp/
បាយដំណើបសំខ្យា	/baay dɑmnaəp sɑŋkyaa/
បាយបាយ	/baay baay/
បារមី	/baareaʔməy/
បារម្ភ	/baarɑm/
បារាំង	/baaraŋ/
បារី	/baarəy/, /pərəy/
បាល់	/bal/
បាល់ទាត់	/bal toat/
បាវ	/baav/
ប៉ាវ	/paav/
បាសក	/baasɑk/
ប៉ាស់ស្ព័រ	/pah spoa/
ប៉ិកគក់	/pək kʊək/
ប៊ិច	/bic/
បិណ្ឌ	/bən/
បិណ្ឌបាត	/bənbaat/
បិទ	/bət/
បិទបាំង	/bət baŋ/
ប៉ិន	/pən/
ប៉ិបស៊ី	/pepsii/
បី	/bəy/
បី	/bəy/
ប៊ីចេង	/bii ceeŋ/
ប៊ីដុង	/biidoŋ/
ប៊ីយេរ	/biiyɛɛ/
បីសាច	/bəy saac/
បឹង	/bəŋ/
បឺត	/bəɨt/
បុក	/bok/
ប៉ុក	/pok/
បុគ្គល	/bokkʊəl/
បុគ្គលិក	/bokkeaʔlɨk/
ប៉ុណ្ណា	/ponnaa/
ប៉ុណ្ណឹង	/ponnəŋ/
ប៉ុណ្ណោះ	/ponnɑh/
បុណ្យ	/bon/
បុណ្យទាន	/bon tien/
ប៉ុន	/pon/
ប៉ុនណា	/pon naa/
ប៉ុន្តែ	/pontae/
ប៉ុន្មាន	/ponmaan/
បុប្ផា	/boppʰaa/
បុព្វការី	/boppeaʔkaarəy/
បុរស	/boʔrɑh/
បុរាណ	/boʔraan/
បូក	/bouk/
បូជា	/boucie/
ប៊ូតុង	/buutoŋ/
បូនើស	/bounǝǝs/
បូម	/boum/
បូរ៉ា	/bouraa/
ប៉ូលិស	/poulih/
បួង	/buəŋ/
បួងសួង	/buəŋ suəŋ/
បួន	/buən/
បើ	/baə/
បើក	/baək/
បើកចំហ	/baək cɑmhɑɑ/
បើកបរ	/baək bɑɑ/
បើសិនជា	/baə sən cie/
បៀតបៀន	/biət biən/
បៀម	/biəm/
បៀរ	/biǝ/
បេះ	/beh/
ប៉េងប៉ោះ	/peeŋ pɑh/
បេះដូង	/beh douŋ/
បេតុង	/beetoŋ/
បេះបិទ	/beh bət/
បែក	/baek/
ប៉ែក	/paek/
បែកគុម្ព	/baek kum/
បែកញើស	/baek ɲəəh/
បែកអេក	/baek ʔeek/
បែងចែក	/baeŋ caek/
បែនស្រូវ	/baen srǝv/
បែប	/baep/
បែរ	/bae/
បៃតង	/baytɑɑŋ/
បោះ	/bɑh/
បោក	/baok/
បោះចោល	/bɑh caol/
បោះជំហាន	/bɑh cumhien/
ប៉ោត	/paot/
បោះពុម្ព	/bɑh pum/
ប៉ោម	/paom/
បោស	/baoh/
ប្ដឹង	/pdəŋ/
ប្ដូរ	/pdou/
ប្តី	/pdəy/
ប្រកប	/prɑkɑɑp/
ប្រកបមុខរបរ	/prɑkɑɑp muk rɔbɑɑ/
ប្រកបរបរ	/prɑkɑɑp rɔbɑɑ/
ប្រកាច់	/prɑkac/
ប្រកាន់	/prɑkan/
ប្រកួត	/prɑkuət/
ប្រគល់	/prɑkʊəl/
ប្រគេន	/prɑkeen/
ប្រចាំ	/prɑcam/
ប្រចាំថ្ងៃ	/prɑcam tŋay/
ប្រជាជន	/prɑciecʊən/
ប្រជាប្រិយ	/prɑcieprəy/
ប្រជាប្រិយភាព	/prɑcieprəy pʰiep/
ប្រជុំ	/prɑcum/
ប្រជុំជន	/prɑcum cɔɔn/
ប្រជែង	/prɑcɛɛŋ/
ប្រជ្រៀត	/prɑcriet/
ប្រញាប់	/prɑɲap/
ប្រញាប់ប្រញាល់	/prɑɲap prɑɲal/
ប្រដាប់	/prɑdap/
ប្រដូច	/prɑdouc/
ប្រណាំង	/prɑnaŋ/
ប្រតិកម្ម	/prɑteʔkam/
ប្រតិទិន	/prɑteʔtɨn/
ប្រថុយ	/prɑtʰoy/
ប្រទេស	/prɑteeh/
ប្រធាន	/prɑtʰien/
ប្រធានបទ	/prɑtʰien bɑt/
ប្រផេះ	/prɑpʰeh/
ប្រពន្ធ	/prɑpʊən/
ប្រព័ន្ធ	/prɑpoan/
ប្រពៃណី	/prɑpeynii/
ប្រព្រឹត្ត	/prɑprɨt/
ប្រភព	/prɑpʰup/
ប្រភេទ	/prɑpʰeet/
ប្រមាណ	/prɑmaan/
ប្រមូល	/prɑmoul/
ប្រយ័ត្ន	/prɑyat/
ប្រយ័ត្នប្រយែង	/prɑyat prɑyaeŋ/
ប្រយោជន៍	/prɑyaoc/
ប្រល័យ	/prɑlay/
ប្រលែង	/prɑlaeŋ/
ប្រវែង	/prɑvaeŋ/
ប្រសក	/prɑsɑk/
ប្រសិទ្ធភាព	/prɑsət pʰiep/
ប្រសិទ្ធិភាព	/prɑsettʰiʔpʰiep/, /prɑsəttʰiʔpʰiep/
ប្រសិន	/prɑsən/
ប្រសិនបើ	/prɑsən baə/
ប្រហាក់ប្រហែល	/prɑhak prɑhael/
ប្រហុក	/prɑhok/
ប្រហើរ	/prɑhaə/
ប្រហែល	/prɑhael/
ប្រហែស	/prɑhaeh/
ប្រហោង	/prɑhaoŋ/
ប្រឡង	/prɑlɑɑŋ/
ប្រឡាក់	/prɑlak/
ប្រឡេះ	/prɑleh/
ប្រឡោះ	/prɑlɑh/
ប្រអប់	/prɑʔɑp/
ប្រអប់ស្នោ	/prɑʔɑp snao/
ប្រាំ	/pram/
ប្រាក់	/prak/
ប្រាក់ខែ	/prak kʰae/
ប្រាកដ	/prakɑt/
ប្រាកដជា	/praakɑɑt cie/
ប្រាក់រាយ	/prak riey/
ប្រាក់អាប់	/prak ʔap/
ប្រាំង	/praŋ/
ប្រាថ្នា	/pratnaa/
ប្រាប់	/prap/
ប្រាំបី	/prambəy/
ប្រាំបួន	/pram buən/
ប្រាំពិល	/pram pɨl/
ប្រាំពីរ	/pram pii/, /pram pɨl/
ប្រាំមួយ	/pram muəy/
ប្រារព្ធ	/praarup/
ប្រាស់	/prah/
ប្រឹង	/prəŋ/
ប្រឹងប្រែង	/prəŋ praeŋ/
ប្រុង	/proŋ/
ប្រុងប្រយ័ត្ន	/proŋ prɑyat/
ប្រុស	/proh/
ប្រូតេអ៊ីន	/prouteeʔiin/
ប្រូម៉ូសិន	/broumousǝn/
ប្រើ	/praə/
ប្រើប្រាស់	/praə prah/
ប្រើឲ្យ	/praə ʔaoy/
ប្រៀប	/priəp/
ប្រេះ	/preh/
ប្រេង	/preeŋ/
ប្រេងកូឡា	/preeŋ koulaa/
ប្រេងខ្យល់	/preeŋ kyɑl/, /preeŋ kcɑl/
ប្រេន	/breen/
ប្រែ	/prae/
ប្រែប្រួល	/prae pruəl/
ប្រៃ	/pray/
ប្រៃសណីយ៍	/praysaʔnii/
ប្លាស្ទិក	/plaastɨk/
ប្លែក	/plaek/
ប្អូន	/pʔoun/
ប្អូនស្រី	/pʔoun srǝy/
ផង	/pʰɑɑŋ/
ផងដែរ	/pʰɑɑŋ dae/
ផត	/pʰɑɑt/
ផល	/pʰɑl/
ផល	/pʰɑl/
ផលដំណាំ	/pʰɑl dɑmnam/
ផលិត	/pʰɑlɨt/, /pʰɑlət/
ផាក	/pʰaak/
ផានិត	/pʰaanɨt/
ផាមួង	/pʰaa muəŋ/
ផារី	/pʰaarii/
ផិនណលធី	/pʰən nɑl tʰii/
ផឹក	/pʰək/
ផុង	/pʰoŋ/
ផុត	/pʰot/
ផុយ	/pʰoy/
ផែ	/pʰae/
ផែនដី	/pʰaen dəy/
ផែនទី	/pʰaen tii/
ផ្កា	/pkaa/
ផ្កាឈូក	/pkaa cʰuuk/
ផ្កាប់	/pkap/
ផ្គត់ផ្គង់	/pkʊət pkʊəŋ/
ផ្គុំ	/pkum/
ផ្ងារ	/pŋaa/
ផ្ចិត	/pcət/, /psət/
ផ្ញើ	/pɲaə/
ផ្ដល់	/pdɑl/
ផ្ដាច់	/pdac/
ផ្ដាសាយ	/pdaasaay/
ផ្ដុំ	/pdom/
ផ្ដើម	/pdaəm/
ផ្ដេក	/pdeek/
ផ្ដេសផ្ដាស	/pdeeh pdaah/
ផ្តិល	/ptəl/
ផ្ទះ	/pteah/
ផ្ទះបាយ	/pteah baay/
ផ្ទះល្វែង	/pteah lvɛɛŋ/
ផ្ទាំង	/pteaŋ/
ផ្ទាប់	/ptoap/
ផ្ទាល់	/ptoal/
ផ្ទាល់ខ្លួន	/ptoal kluən/
ផ្ទុយ	/ptuy/
ផ្ទុយទៅវិញ	/ptuy tɨv vɨɲ/
ផ្ទុយពី	/ptuy pii/
ផ្ទេរ	/ptee/
ផ្ទៃ	/ptey/
ផ្ទៃមុខ	/ptey muk/
ផ្ទៃសមុទ្រ	/ptey saʔmot/
ផ្នែក	/pnaek/
ផ្លាក	/plaak/
ផ្លាកតម្លៃ	/plaak tɑmlay/
ផ្លាស់	/plah/
ផ្លិតទឹក	/plət tɨk/
ផ្លុំ	/plom/
ផ្លូវ	/pləv/
ផ្លូវការ	/pləv kaa/
ផ្លូវគោក	/pləv kook/
ផ្លូវជាតិ	/pləv ciet/
ផ្លូវដែក	/pləv daek/
ផ្លូវថ្នល់	/pləv tnɑl/
ផ្លូវទាល់	/pləv toal/
ផ្លូវទឹក	/pləv tɨk/
ផ្លូវភេទ	/pləv pʰeet/
ផ្លូវលំ	/pləv lum/
ផ្លូវអាកាស	/pləv ʔaakaah/
ផ្លែ	/plae/
ផ្លែឈើ	/plae cʰəə/
ផ្សំ	/psɑm/
ផ្សង	/psɑɑŋ/
ផ្សំថ្នាំ	/psɑm tnam/
ផ្សាយ	/psaay/
ផ្សារ	/psaa/
ផ្សារទំនើប	/psaa tumnəəp/
ផ្សាររាត្រី	/psaa rietrəy/
ផ្សេង	/pseeŋ/
ផ្សេងទៀត	/pseeŋ tiət/
ផ្សែង	/psaeŋ/
ផ្អាប់ទុក	/pʔap tuk/
ផ្អៀង	/pʔiəŋ/
ផ្អែក	/pʔaek/
ផ្អែម	/pʔaem/
ព	/pɔɔ/
ពង	/pɔɔŋ/
ពងក្រពើ	/pɔɔŋ krɑpəə/
ពងមាន់	/pɔɔŋ moan/
ពញ្ញាក់	/pʊəɲɲeak/
ពណ៌	/poa/
ពត់ខ្លួន	/pʊət kluən/
ព័ត៌មាន	/poadɑɑmien/
ព័ទ្ធ	/poat/
ពំនូក	/pumnuuk/
ពន្ធ	/pʊən/
ពន្ធធនាគារ	/pʊəntʰeaʔniekie/
ពន្ធនាគារ	/pʊəntʰeaʔniekie/
ពន្យល់	/pʊənyʊəl/
ពន្លិច	/pʊənlɨc/
ពន្លឺ	/pʊənlɨɨ/
ពពក	/pɔpɔɔk/
ពពុះ	/pɔpuh/
ពរ	/pɔɔ/
ពរ្សឺឡែន	/pɔɔksəɨlaen/, /poasəɨlaen/
ពលកម្ម	/pʊəlleaʔ kam/
ពាក់	/peak/
ពាក់កណ្ដាល	/peak kɑndaal/
ពាក់ឆៀង	/peak cʰiəŋ/
ពាក់ព័ន្ធ	/peak poan/
ពាក្យ	/piek/
ពាក្យពេចន៍	/piek pɨc/
ពាក្យមុសា	/piek muʔsaa/
ពាក្យសំដី	/piek sɑmdəy/
ពាក្យសុំ	/piek som/
ពាក្យសូរដូច	/piek sou douc/
ពាក្យស្លោក	/piek slaok/
ពាង	/pieŋ/
ពាន់	/poan/
ពាសវាលពាសកាល	/pieh viel pieh kaal/
ពិចនិច	/pɨcnɨc/
ពិត	/pɨt/
ពិតជា	/pɨt cie/
ពិតប្រាកដ	/pɨt praakɑɑt/
ពិតមែន	/pɨt mɛɛn/
ពិតាន	/pidaan/
ពិធី	/piʔtʰii/
ពិធីករ	/piʔtʰii kɑɑ/
ពិធីបុណ្យ	/piʔtʰii bon/
ពិន័យ	/piʔney/
ពិនិត្យ	/piʔnɨt/
ពិនិត្យមើល	/piʔnɨt məəl/
ពិន្ទុ	/pɨntuʔ/
ពិបាក	/piʔbaak/
ពិបាកចិត្ត	/piʔbaak cət/
ពិពណ៌នា	/piʔpoanie/, /piʔpoanaʔnie/
ពិភាក្សា	/piʔpʰieksaa/
ពិសា	/piʔsaa/, /piisaa/
ពិសិដ្ឋ	/piʔsət/
ពិសី	/piʔsəy/
ពិសេស	/piʔseh/
ពី	/pii/
ពីក្រោម	/pii kraom/
ពីក្រោយ	/pii kraoy/
ពីងពាង	/piiŋ pieŋ/
ពីដើម	/pii daəm/
ពីព្រោះ	/pii prʊəh/
ពីមុន	/pii mun/
ពីរ	/pii/, /pɨl/
ពីរណ្ដប់	/piindɑp/
ពីរោះ	/piirʊəh/
ពឹង	/pɨŋ/
ពឹងផ្អែក	/pɨŋ pʔaek/
ពឹងពាក់	/pɨŋ peak/
ពុំ	/pum/
ពុះ	/puh/
ពុក	/puk/
ពុកមាត់	/puk moat/
ពុំខាន	/pum kʰaan/
ពុំទាន់	/pum toan/
ពុល	/pul/
ពុលបាយ	/pul baay/
ពុលរលក	/pul rɔlɔɔk/
ពុំសូវ	/pum səv/
ពូ	/puu/
ពូក	/puuk/
ពូកែ	/puukae/
ពូជ	/puuc/
ពូត	/puut/
ពូថៅ	/puu tʰav/
ពូន	/puun/
ពូនភ្នំ	/puun pnum/
ពួក	/puək/
ពួកខ្ញុំ	/puək kɲom/
ពួកគាត់	/puək koat/
ពួកគេ	/puək kee/
ពួកម៉ាក	/puək maak/
ពេក	/peek/
ពេជ្រ	/pɨc/
ពេញ	/pɨɲ/
ពេញចិត្ត	/pɨɲ cət/
ពេញនិយម	/pɨɲ niʔyum/
ពេទ្យ	/pɛɛt/
ពេល	/peel/
ពេលខ្លះ	/peel klah/
ពេលថ្ងៃ	/peel tŋay/
ពេលថ្ងៃត្រង់	/peel tŋay trɑŋ/
ពេលទំនេរ	/peel tumnee/
ពេលព្រឹក	/peel prɨk/
ពេលព្រឹកព្រលឹម	/peel prɨk prɔlɨm/
ពេលយប់	/peel yup/
ពេលល្ងាច	/peel lŋiec/
ពេលវេលា	/peel veelie/
ពែង	/pɛɛŋ/
ពែនភ្នែន	/pɛɛn pnɛɛn/
ពោះ	/pʊəh/
ពោត	/poot/
ពោធិ៍សាត់	/poosat/
ពោរ	/pou/
ពោរពេញ	/poo pɨɲ/
ពោល	/pool/
ព្យញ្ជនៈ	/pyʊəɲceaʔneaʔ/
ព្យាបាល	/pyiebaal/
ព្យាយាម	/pyieyiem/
ព្យួរ	/pyuə/
ព្រះ	/preah/
ព្រះចន្ទ	/preah can/
ព្រះពុទ្ធ	/preah put/
ព្រះពុទ្ធសាសនា	/preah put saasnaa/
ព្រម	/prɔɔm/
ព្រមគ្នា	/prɔɔm knie/
ព្រមទាំង	/prɔɔm teaŋ/
ព្រះមហាក្សត្រ	/preah mɔhaaksat/
ព្រលឹម	/prɔlɨm/
ព្រះវិហារ	/preah viʔhie/
ព្រះសង្ឃ	/preah sɑŋ/
ព្រះអាទិត្យ	/preah ʔaatɨt/
ព្រាយ	/priey/
ព្រី	/prii/
ព្រីន	/priin/
ព្រឹក	/prɨk/
ព្រឹកមិញ	/prɨk mɨɲ/
ព្រុស	/pruh/
ព្រួយ	/pruəy/
ព្រួយបារម្ភ	/pruəy baarɑm/
ព្រួស	/pruəh/
ព្រៃ	/prey/
ព្រោះ	/prʊəh/
ព្រោះអី	/prʊəh ʔəy/
ភ	/pʰɔɔ/
ភក់	/pʰʊək/
ភ័យ	/pʰey/
ភស្តុតាង	/pʰoahtaaŋ/
ភា	/pʰie/
ភាគ	/pʰiek/
ភាគច្រើន	/pʰiek craən/
ភាគរយ	/pʰiek rɔɔy/
ភាគី	/pʰiekii/
ភាន់ច្រឡំ	/pʰoan crɑlɑm/
ភាព	/pʰiep/
ភាយ	/pʰiey/
ភាសា	/pʰiesaa/
ភីហ្សា	/piisaa/
ភូមិ	/pʰuum/
ភួយ	/pʰuəy/
ភេសជ្ជៈ	/pʰeehsacceaʔ/
ភោជនីយដ្ឋាន	/pʰooceaʔniiyeaʔtʰaan/
ភ្ជាប់	/pcoap/
ភ្ជាប់នឹង	/pcoap nɨŋ/
ភ្ជួរ	/pcuə/
ភ្ជួរស្រែ	/pcuə srae/
ភ្ញាក់	/pɲeak/
ភ្ញាក់ផ្អើល	/pɲeak pʔaəl/
ភ្ញៀវ	/pɲiəv/
ភ្នំ	/pnum/
ភ្នំបូកគោ	/pnum bouk koo/
ភ្នំពេញ	/pnum pɨɲ/
ភ្នំសន្ទុក	/pnum sɑntuk/
ភ្នាក់ងារ	/pneak ŋie/
ភ្នាល់	/pnoal/
ភ្នែក	/pnɛɛk/
ភ្លាម	/pliem/
ភ្លី	/plii/
ភ្លឹក	/plɨk/
ភ្លឹង	/plɨŋ/
ភ្លឺ	/plɨɨ/
ភ្លើង	/pləəŋ/
ភ្លើងស៊ីញ៉ូ	/pləəŋ siiɲou/
ភ្លើងស្តុប	/pləəŋ stop/
ភ្លៀង	/pliəŋ/
ភ្លេង	/pleeŋ/
ភ្លេងជាតិ	/pleeŋ ciet/
ភ្លេច	/plɨc/
ភ្លេចខ្លួន	/plɨc kluən/
ភ្លេចដៃ	/plɨc day/
ភ្លេចភ្លាំង	/plɨc pleaŋ/
ភ្លែត	/plɛɛt/
ភ្លៅ	/plɨv/
ម	/mɔɔ/
មក	/mɔɔk/
មកកាន់	/mɔɔk kan/
មកដល់	/mɔɔk dɑl/
មកពី	/mɔɔk pii/
មកុដ	/mɔkot/, /meaʔkot/
ម៉ង	/mɑɑŋ/
មង្ឃុត	/mʊəŋkʰut/
មណ្ឌល	/mʊəndʊəl/
មណ្ឌលគិរី	/mʊəndʊəl kiʔrii/
មធ្យម	/matyum/, /meaʔtyum/
មធ្យោបាយ	/matyoubaay/
មនុស្ស	/mɔnuh/, /meaʔnuh/
មនុស្សម្នា	/mɔnuh mnie/
មនុស្សម្នាក់	/meaʔnuh mneak/
មន្ទិល	/mʊəntɨl/
មន្ទីរពេទ្យ	/mʊəntii pɛɛt/
មរកត	/mɔrəkɑt/, /meaʔreaʔkɑt/
ម៉ស់	/mɑh/
មាំ	/moam/
ម៉ា	/maa/
ម៉ាក	/maak/
ម៉ាក់	/mak/
ម៉ាគំនរ	/maa kumnɔɔ/
ម៉ាឃីតធីង	/maakʰiitʰiiŋ/
ម៉ាណ្ដប់	/maandɑp/
មាត់	/moat/
មាត់ច្រាំង	/moat craŋ/
មាត់ទន្លេ	/moat tʊənlee/
មាត់ទឹក	/moat tɨk/
មាតា	/miedaa/
មាន	/mien/
មាន់	/moan/
ម៉ាន	/maan/
មានការ	/mien kaa/
មានគុណ	/mien kun/
មានណា	/mien naa/
មានទៅស្អី	/mien tɨv sʔǝy/
មានន័យ	/mien ney/
មានបាន	/mien baan/
មានប្រសាសន៍	/mien prɑsaah/
មានអី	/mien ʔəy/
មាស	/mieh/
ម៉ាស៊ីន	/maasin/
ម៉ាស៊ីនត្រជាក់	/maasin trɑceak/
ម៉ាស៊ីនបញ្ចាំងស្លាយ	/maasin bɑɲcaŋ slaay/
ម៉ាស៊ីនបូមធូលី	/maasin boum tʰuulii/
ម៉ាស៊ីនបោកខោអាវ	/maasin baok kʰao ʔaav/
ម៉ាស៊ីនលាងចាន	/maasin lieŋ caan/
ម៉ាស៊ូត	/maasuut/
ម៉ាស្ទ័រ	/maastoa/
ម៉ាឡេស៊ី	/maaleezii/
មិញ	/mɨɲ/
មិត្ត	/mɨt/
មិត្តប្រុស	/mɨt proh/
មិត្តភក្តិ	/mɨt pʰeaʔ/
មិត្តស្រី	/mɨt srəy/
មិន	/mɨn/
មិនខាន	/mɨn kʰaan/
មិនខ្វល់	/mɨn kvɑl/
មិនដែល	/mɨn dael/
មិនថា	/mɨn tʰaa/
មិនទាំង	/mɨn teaŋ/
មិនទាន់	/mɨn toan/
មិនបាច់	/mɨn bac/
មិនមែន	/mɨn mɛɛn/
មិនសូវ	/mɨn səv/
មិនអីទេ	/mɨn ʔəy tee/
មី	/mii/
មីង	/miiŋ/
មីនុយ	/miinuy/
ម៉ឺន	/məɨn/
មុំ	/mum/
មុខ	/muk/
មុខងារ	/muk ŋie/
មុខជូរ	/muk cuu/
មុខតំណ	/muk dɑmnɑɑ/
មុខមាត់	/muk moat/
មុខរបរ	/muk rɔbɑɑ/
មុខរបួស	/muk rɔbuəh/
មុខវិជ្ជា	/muk vɨccie/
មុខស្អុយ	/muk sʔoy/
មុជ	/muc/
មុត	/mut/
មុន	/mun/
មុននឹង	/mun nɨŋ/
ម៉ូត	/mout/
ម៉ូតូ	/moutou/
ម៉ូតូឌុប	/moutou dup/
ម៉ូទ័រ	/moutoa/
ម៉ូនីទ័រ	/mouniitoa/
ម៉ូយ	/mouy/
មូរ	/muu/
មូល	/muul/
មូលហេតុ	/muulhaet/
មូស	/muuh/
មូសខ្លា	/muuh klaa/
មូសដែកគោល	/muuh daek kool/
មួក	/muək/
មួកការពារ	/muək kaapie/
មួកសុវត្ថិភាព	/muək soʔvattʰeʔpʰiep/
មួម៉ៅ	/muə mav/
មួយ	/muəy/
មួយទឹក	/muəy tɨk/
មួយទៀត	/muəy tiət/
មួយវិញទៀត	/muəy vɨɲ tiət/
មួល	/muəl/
មើម	/məəm/
មើល	/məəl/
មើលឃើញ	/məəl kʰəəɲ/
មើលទៅ	/məəl tɨv/
មេ	/mee/
ម៉េះ	/meh/
មេឃ	/meek/
មេឃស្រទុំ	/meek srɑɑ tum/
ម៉េច	/məc/
ម៉េចក៏	/məc kɑɑ/
ម៉េចចឹង	/məc cəŋ/
ម៉េចដែរ	/məc dae/
ម៉េចហ្នឹង	/məc nɨŋ/
មេដៃ	/mee day/
ម៉េប	/məp/
មេមាន់	/mee moan/
មេរៀន	/mee riən/
មេរោគ	/mee rook/
មេសា	/meesaa/
ម៉ែ	/mae/
មែន	/mɛɛn/
មែនទែន	/mɛɛn tɛɛn/
ម៉ោ	/mao/
មោឃៈ	/mookʰeaʔ/
ម៉ោង	/maoŋ/
ម៉ោពី	/mao pii/
ម្ខាង	/mkʰaaŋ/
ម្ខាងទៀត	/mkʰaaŋ tiət/
ម្ចាស់	/mcah/
ម្ជុល	/mcul/
ម្ជុលចាក់ថ្នាំ	/mcul cak tnam/
ម្ជូរ	/mcuu/
ម្ដង	/mdɑɑŋ/
ម្ដងៗ	/mdɑɑŋ mdɑɑŋ/
ម្ដងទៀត	/mdɑɑŋ tiət/
ម្ដងម្នាក់	/mdɑɑŋ mneak/
ម្ដាយ	/mdaay/
ម្ដុំ	/mdom/
ម្ទេស	/mteeh/
ម្ទេសប្លោក	/mteeh plaok/
ម្នាក់	/mneak/
ម្នាក់ឯង	/mneak ʔaeŋ/
ម្នាស់	/mnoah/
ម្ភៃ	/mpʰey/
ម្យ៉ាង	/myaaŋ/
ម្យ៉ាងទៀត	/myaaŋ tiət/
ម្យ៉ាងម្នាក់	/myaaŋ mneak/
ម្យ៉ាងវិញទៀត	/myaaŋ vɨɲ tiət/
ម្រាម	/mriem/
ម្រាមដៃ	/mriem day/
ម្រាមដៃនាង	/mriem day nieŋ/
ម្រាមនាងដៃ	/mriem nieŋ day/
ម្លប់	/mlup/
ម្លិះ	/mlih/
ម្ល៉េះ	/mleh/
ម្សិលមិញ	/msəl mɨɲ/
ម្សិលម្ង៉ៃ	/msəl mŋay/
ម្សៅ	/msav/
ម្ហូប	/mhoup/
យក	/yɔɔk/
យកចិត្តទុកដាក់	/yɔɔk cət tuk dak/
យកម៉ង	/yɔɔk mɑɑŋ/
យក្ស	/yeak/
យន្តហោះ	/yʊən hɑh/
យប់	/yup/
យល់	/yʊəl/
យល់ព្រម	/yʊəl prɔɔm/
យល់សប្តិ	/yʊəl sɑp/
យល់ស្រប	/yʊəl srɑɑp/
យ៉ាង	/yaaŋ/
យ៉ាងដូចម្ដេច	/yaaŋ douc mdəc/
យ៉ាងណាក៏ដោយ	/yaaŋ naa kɑɑ daoy/
យ៉ាងតិច	/yaaŋ təc/
យ៉ាងម៉េច	/yaaŋ məc/
យ៉ាប់	/yap/
យ៉ាប់ម៉ង	/yap mɑɑŋ/
យាម	/yiem/
យាយ	/yiey/
យី	/yii/
យឹត	/yɨt/
យឺត	/yɨɨt/
យឺតយ៉ាវ	/yɨɨt yaav/
យុថ្កា	/yut tkaa/
យុវជន	/yuʔveaʔcʊən/
យុវវ័យ	/yuʔveaʔvey/
យូធូប	/yuutʰuup/
យូរ	/yuu/
យួរ	/yuə/
យើង	/yəəŋ/
យេស	/yeeh/
យោក	/yook/
យោបល់	/yoobɑl/
យោល	/yool/
រ	/rɔɔ/
រះ	/reah/
រក	/rɔɔk/
រកលុយ	/rɔɔk luy/
រកស៊ី	/rɔɔk sii/
រក្សា	/reaksaa/
រំខាន	/rumkʰaan/
រង់ចាំ	/rʊəŋ cam/, /rɔɔŋ cam/
រងា	/rɔŋie/
រងាវ	/rɔŋiev/
រងើកភ្លើង	/rɔŋəək pləəŋ/
រង្គើ	/rʊəŋkəə/
រង្វង់	/rʊəŋvʊəŋ/
រង្វាស់រង្វាល់	/rʊəŋvoah rʊəŋvoal/
រចនាបថ	/reaʔcaʔnaa bɑt/
រញ៉េរញ៉ៃ	/rɔɲee rɔɲay/
រដូវ	/rɔdəv/
រដូវក្ដៅ	/rɔdəv kdav/
រដូវត្រជាក់	/rɔdəv trɑceak/
រដូវប្រាំង	/rɔdəv praŋ/
រដូវភ្លៀង	/rɔdəv pliəŋ/
រដូវរងា	/rɔdəv rɔŋie/
រដូវវស្សា	/rɔdəv voahsaa/
រដ្ឋ	/roat/
រណារ	/rɔnaa/
រត់	/rʊət/
រតនៈ	/roattaʔnaʔ/, /reaʔtaʔnaʔ/
រតនា	/reaʔtaʔnaa/
រថភ្លើង	/rʊət pləəŋ/
រថយន្ត	/rʊət yʊən/
រថយន្តក្រុង	/rʊət yʊən kroŋ/
រទេះ	/rɔteh/
រទេះភ្លើង	/rɔteh pləəŋ/
រនាំង	/rɔneaŋ/
រនាប	/rɔniep/
រនាស់	/rɔnoah/
រន្ទះ	/rʊənteah/
រន្ធ	/rʊən/
របង	/rɔbɑɑŋ/
របស់	/rɔbɑh/
របស់របរ	/rɔbɑh rɔbɑɑ/
របាំង	/rɔbaŋ/
រប៉ាត់រប៉ាយ	/rɔpat rɔpaay/
របាទ	/rɔbaat/
របាយការណ៍	/rɔbaay kaa/
របារ	/rɔbaa/
របូត	/rɔbout/
របួស	/rɔbuəh/
របៀប	/rɔbiəp/
រពឹស	/rɔpɨh/
រំពេចនោះ	/rumpɨc nuh/
រំភើប	/rumpʰəəp/
រមណីយដ្ឋាន	/reaʔmeaʔniiyeaʔtʰaan/
រមាស់	/rɔmoah/
