กก	/gok/
สันญาน	/san.ɲa:n/
สันยะกัม	/san.ya.gam/
สับ	/sap/
สาก	/sa:k/
ส้าง	/sa:ŋ/
สาด	/sa:t/
สาม	/sa:m/
สามแย้ก	/sa:m.yɛ:k/
สามสิบ	/sa:m.sip/
สามเหลี่ยม	/sa:m.li:am/
สามาด	/sa:.ma:t/
สาย	/sa:i/
สาย	/sa:i/
ส่าย	/sa:i/
สายไฟ	/sa:i.fai/
สาละ	/sa:.la/
สาละคะดี	/sa:.la.ka.di:/
สาลา	/sa:.la:/
สาลาวัด	/sa:.la:.wat/
สาสะนา	/sa:.sa.na:/
สาสะนาพุด	/sa:.sa.na:.phut/
ส่ำ	/sam/
สำคัน	/sam.khan/
ส่ำนั้น	/sam.nan/
ส่ำนี้	/sam.ni:/
สำลอง	/sam.lɔ:ŋ/
สำหลับ	/sam.lap/
สิ	/si/
สิ่ง	/siŋ/
สิ่งของ	/siŋ.khɔ:ŋ/
สิงหาคม	/siŋ.ha:.khom/
สิ้น	/sin/
สิบ	/sip/
สี	/si:/
สี่	/si:/
สีก	/si:k/
สีดยา	/si:t.ya:/
สีตับหมู	/si:.tap.mu:/
สีน	/si:n/
สีสัน	/si:.san/
สี่สิบ	/si:.sip/
สีหน้า	/si:.na:/
สีหน้าสีตา	/si:.na:.si:.ta:/
สี่เหลี่ยม	/si:.li:am/
สึกสา	/sʉk.sa:/
สึม	/sʉm/
สุก	/suk/
สุกขะพาบ	/suk.kha.pha:p/
สุข	/suk/
สุด	/sut/
สุดท้อง	/sut.thɔ:ŋ/
สุบ	/sup/
สุพาบ	/su.pha:p/
สู่	/su:/
สู้	/su:/
สูง	/su:ŋ/
สูด	/su:t/
สูน	/su:n/
สูบ	/su:p/
เสด	/se:t/
เส็ด	/set/
เส้น	/sen/
เสย	/sə:i/
เสา	/sao/
เส้า	/sao/
เสิบ	/sə:p/
เสิมสวย	/sə:m.su:ai/
เสีย	/si:a/
เสีย	/si:a/
เสี้ย	/si:a/
เสี้ยเกาะอก	/si:a.gɔ.ok/
เสียง	/si:aŋ/
เสี่ยง	/si:aŋ/
เสียงดัง	/si:aŋ.daŋ/
เสียใจ	/si:a.jai/
เสียบ	/si:ap/
เสี้ยผ้า	/si:a.pha:/
เสี้ยยื้ด	/si:a.yʉ:t/
เสี้ยว	/si:ao/
เสียหลัก	/si:a.lak/
เสียหาย	/si:a.ha:i/
แสง	/sɛ:ŋ/
ใส	/sai/
ใส	/sai/
ใส่	/sai/
หก	/hok/
หงอก	/ŋɔ:k/
หงอน	/ŋɔ:n/
หญ้ม	/ɲom/
หญอง	/ɲɔŋ/
หญัง	/ɲaŋ/
หญ้า	/ɲa:/
หญุ้ง	/ɲuŋ/
หญุ้งญาก	/ɲuŋ.ɲa:k/
หนทาง	/hon.tha:ŋ/
หนวด	/nu:at/
หนอง	/nɔ:ŋ/
หน่อย	/nɔ:i/
หน้อย	/nɔ:i/
หน่อยเดียว	/nɔ:i.di:ao/
หน่อยหนึ่ง	/nɔ:i.nʉŋ/
หนะ	/na/
หนัก	/nak/
หนัง	/naŋ/
หนังสือ	/naŋ.sʉ:/
หนังสือพิม	/naŋ.sʉ:.phim/
หนั้น	/nan/
หนั้นหละ	/nan.la/
หนา	/na:/
หน้า	/na:/
หน้าจอ	/na:.jɔ:/
หน้าจะ	/na:.ja/
หน้าตา	/na:.ta:/
หน้าต่าง	/na:.ta:ŋ/
หน้าที่	/na:.thi:/
หน้าผาก	/na:.pha:k/
หน้าฝน	/na:.fon/
หน้าแล้ง	/na:.lɛ:ŋ/
หนาว	/na:o/
หน้าหนาว	/na:.na:o/
หน้าเอิก	/na:.ək/
หน้าฮ้อน	/na:.hɔ:n/
หนิ	/ni/
หนิหละ	/ni.la/
หนี	/ni:/
หนี้	/ni:/
หนีบ	/ni:p/
หนึ่ง	/nʉŋ/
หนุ่ม	/num/
ห่ม	/hom/
หม้น	/mon/
หมวก	/mu:ak/
หมวกกันน็อก	/mu:ak.gan.nɔk/
หมอ	/mɔ:/
หม้อ	/mɔ:/
หมอง	/mɔ:ŋ/
หม้อง	/mɔŋ/
หมอน	/mɔ:n/
หมอฟัน	/mɔ:.fan/
หมั้น	/man/
หมั้นใจ	/man.jai/
หมา	/ma:/
หมากไม้	/ma:k.mai/
หมาด	/ma:t/
หมายความ	/ma:i.khwa:m/
หมายถึง	/ma:i.thʉŋ/
หมื่น	/mʉ:n/
หมุน	/mun/
หมุน	/mun/
หมู	/mu:/
หมู่	/mu:/
หมู่บ้าน	/mu:.ba:n/
หยาบ	/ya:p/
หยิบ	/yip/
หยุด	/yut/
หลก	/lok/
หลงเหลีย	/loŋ.li:a/
หล่น	/lon/
หลบ	/lop/
หลบซ้อน	/lop.sɔn/
หล่อ	/lɔ:/
หลอด	/lɔ:t/
หล่อเลี้ยง	/lɔ:.li:aŋ/
หละ	/la/
หลัก	/lak/
หลักอากาด	/lak.a:.ga:t/
หลัง	/laŋ/
หลังกะสี	/laŋ.ga.si:/
หลังคา	/laŋ.ka:/
หลังจาก	/laŋ.ja:k/
หลับ	/lap/
หล้า	/la:/
หลาน	/la:n/
หลาย	/la:i/
หลายเติบ	/la:i.tə:p/
หลายสิ่งหลายอย่าง	/la:i.siŋ.la:i.ya:ŋ/
หลือ	/lʉ:/
หลุด	/lut/
หลุดมือ	/lut.mʉ:/
หลุม	/lum/
หวอ	/wɔ:/
หวัดดี	/wat.di:/
หวาน	/wa:n/
หว่าน	/wa:n/
หว้าย	/wa:i/
หว้ายน้ำ	/wa:i.na:m/
หวี	/wi:/
หอ	/hɔ:/
ห่อ	/hɔ:/
ห้อง	/hɔŋ/
ห้องนอน	/hɔŋ.nɔ:n/
ห้องน้ำ	/hɔŋ.na:m/
ห้องเลียน	/hɔŋ.li:an/
ห้องสะหมุด	/hɔŋ.sa.mut/
หอบ	/hɔ:p/
หอม	/hɔ:m/
หอม	/hɔ:m/
หอมหัวแดง	/hɔ:m.hu:a.dɛ:ŋ/
ห้อย	/hɔ:i/
หอั้น	/an/
หัก	/hak/
หัน	/han/
หั่น	/han/
หั้น	/han/
หันใจ	/han.jai/
หัว	/hu:a/
หัว	/hu:a/
หัว	/hu:a/
หัวขวัน	/hu:a.kwan/
หัวเข่า	/hu:a.khao/
หัวใจ	/hu:a.jai/
หัวเตอะหัวเติน	/hu:a.tə.hu:a.tə:n/
หัวล้อ	/hu:a.lɔ:/
หัวหน้า	/hu:a.na:/
หัวหอม	/hu:a.hɔ:m/
หา	/ha:/
ห้า	/ha:/
หาง	/ha:ŋ/
ห่าง	/ha:ŋ/
ห้าง	/ha:ŋ/
หาย	/ha:i/
หายใจ	/ha:i.jai/
ห้าสิบ	/ha:.sip/
หิน	/hin/
หิว	/hiu/
หิ้ว	/hiu/
หุ่น	/hun/
หุ้ม	/hum/
หู	/hu:/
หูจับ	/hu:.jap/
หูฟัง	/hu:.faŋ/
หูหนวก	/hu:.nu:ak/
เหงี่ย	/ŋi:a/
เหงียก	/ŋi:ak/
เหด	/he:t/
เหดกาน	/he:t.ga:n/
เหดผน	/he:t.phon/
เหดล้าย	/he:t.la:i/
เห็น	/hen/
เหน้ก	/nek/
เหม้	/me:/
เหม็น	/men/
เหมาะสม	/mɔ.som/
เหมิกเถิก	/mə:k.thə:k/
เหยียด	/yi:at/
เหยียบ	/yi:ap/
เหล็ก	/lek/
เหล้น	/len/
เหล้ม	/lem/
เหลว	/le:o/
เหล้า	/lao/
เหลีย	/li:a/
เหลียง	/li:aŋ/
เหลียน	/li:an/
เหลี่ยม	/li:am/
เหลียว	/li:ao/
เห่า	/hao/
เหี่ย	/hi:a/
แห่ง	/hɛŋ/
แห้ง	/hɛ:ŋ/
แห้งแล้ง	/hɛ:ŋ.lɛ:ŋ/
แห้น	/hɛ:n/
แหน้น	/nɛn/
แหลก	/lɛ:k/
แหลม	/lɛ:m/
แหล้ว	/lɛ:o/
แหวน	/wɛ:n/
แหวว	/wɛ:o/
ให้	/hai/
ใหญ่	/ɲai/
ใหม่	/mai/
ไหน	/nai/
ไหม้	/mai/
ไหล	/lai/
ไหล่	/lai/
ไหล้	/lai/
ไหว	/wai/
ไหว้	/wai/
ไหว้พะ	/wai.pha/
อก	/ok/
อง	/oŋ/
องสา	/oŋ.sa:/
อบอุ่น	/op.un/
อ่มๆ	/om/
อย่า	/ya:/
อยาก	/ya:k/
อยากหัว	/ya:k.hu:a/
อย่าง	/ya:ŋ/
อย่างเซ้น	/ya:ŋ.sen/
อย่างเดียว	/ya:ŋ.di:ao/
อย่างหลาย	/ya:ŋ.la:i/
อยู่	/yu:/
อ้วน	/u:an/
อ่วย	/u:ai/
ออก	/ɔ:k/
ออกกำลังกาย	/ɔ:k.gam.laŋ.ga:i/
อ่องต่อง	/ɔŋ.tɔŋ/
อ่อน	/ɔ:n/
ออนสอน	/ɔ:n.sɔ:n/
อ้อม	/ɔ:m/
อ้อยต้อย	/ɔ:i.tɔ:i/
อะดีด	/a.di:t/
อะทิดถาน	/a.thit.tha:n/
อะทิบาย	/a.thi.ba:i/
อะนาคด	/a.na:.khot/
อะพิทัม	/a.phi.tham/
อะวัยยะวะ	/a.wai.ya.wa/
อักสน	/ak.sɔ:n/
อังกิด	/aŋ.git/
อัด	/at/
อัน	/an/
อันตะลาย	/an.ta.la:i/
อันแต่ว่า	/an.tɛ:.wa:/
อับ	/ap/
อา	/a:/
อ้า	/a:/
อากาด	/a:.ga:t/
อากาน	/a:.ga:n/
อ่าง	/a:ŋ/
อ่างล้างหน้า	/a:ŋ.la:ŋ.na:/
อาจาน	/a:.ja:n/
อาซีบ	/a:.si:p/
อาด	/a:t/
อาดจะ	/a:t.ja/
อาทิ	/a:.thi/
อาทิด	/a:.thit/
อ่าน	/a:n/
อาบ	/a:p/
อาบน้ำ	/a:p.na:m/
อ่ามล่าม	/a:m.la:m/
อ้าย	/a:i/
อายุ	/a:.yu/
อาลม	/a:.lom/
อาวุโส	/a:.wu.so:/
อาสัย	/a:.sai/
อาหาน	/a:.ha:n/
อำเพอ	/am.phə:/
อิ่จิ่หนึ่ง	/i.ji.nʉŋ/
อิด	/it/
อิ่ม	/im/
อีก	/i:k/
อี่เกิ้ง	/i:.gə:ŋ/
อี่ปู	/i:.pu:/
อี่แม่	/i:.mɛ:/
อี่สาน	/i:.sa:n/
อี่หยัง	/i:.yaŋ/
อี่หล้า	/i:.la:/
อี่หลี	/i:.li:/
อี่หลีอี่หลอ	/i:.li:.i:.lɔ:/
อึ้งตึ้ง	/ʉŋ.tʉŋ/
อึ้มคึ้ม	/ʉm.khʉm/
อื่น	/ʉ:n/
อุดมสมบูน	/u.dom.som.bu:n/
อุ่น	/un/
อุบะติเหด	/u.ba.ti.he:t/
อุปะกอน	/u.pa.gɔ:n/
อุ้ม	/um/
อุ้ย	/ui/
อุ้ยปุ้ย	/ui.pui/
เอง	/e:ŋ/
เอเซีย	/e:.si:a/
เอ็ด	/et/
เอทีเอ็ม	/e:.thi:.em/
เอน	/e:n/
เอ้ม	/em/
เอ่ย	/ə:i/
เอ่ย	/ə:i/
เอ้ย	/ə:i/
เออ	/ə:/
เอ้อเฮ้อ	/ə:.hə:/
เอา	/ao/
เอา	/ao/
เอ๊า	/ao/
เอาโลด	/ao.lo:t/
เอ่าะเจ่าะ	/ɔ.jɔ/
เอ่าะเญาะ	/ɔ.ɲɔ/
เอิก	/ək/
เอิ้น	/ə:n/
เอี่ยม	/i:am/
เอื้อย	/ʉ:ai/
แอ	/ɛ:/
แอ็นกอฮอ	/ɛn.gɔ:.hɔ:/
แอ็ปเปิ้น	/ɛp.pən/
แออัด	/ɛ:.at/
โอ	/o:/
โอกาด	/o:.ga:t/
โอ่ง	/o:ŋ/
โอ่งโล่ง	/o:ŋ.lo:ŋ/
โอน	/o:n/
โอ๊ย	/o:i/
ไอ	/ai/
ไอติม	/ai.tim/
ไอน้ำ	/ai.na:m/
ฮ่ม	/hom/
ฮวมกัน	/hu:am.gan/
ฮอง	/hɔ:ŋ/
ฮ้อง	/hɔ:ŋ/
ฮ้องไห้	/hɔ:ŋ.hai/
ฮอด	/hɔ:t/
ฮ่อน	/hɔn/
ฮ้อน	/hɔ:n/
ฮอย	/hɔ:i/
ฮัก	/hak/
ฮับ	/hap/
ฮั่ว	/hu:a/
ฮั้ว	/hu:a/
ฮาก	/ha:k/
ฮ้าง	/ha:ŋ/
ฮาน	/ha:n/
ฮ้าน	/ha:n/
ฮ้าย	/ha:i/
ฮาว	/ha:o/
ฮำ	/ham/
ฮึ	/hʉ/
ฮึ่มๆ	/hʉm/
ฮุ	/hu/
ฮุ่ง	/huŋ/
ฮู้	/hu:/
ฮู้จัก	/hu:.jak/
ฮูด	/hu:t/
ฮู้สึก	/hu:.sʉk/
ฮู้สึกโต	/hu:.sʉk.to:/
เฮ็ด	/het/
เฮ็ดกานเฮ็ดงาน	/het.ga:n.het.ŋa:n/
เฮ็ดงาน	/het.ŋa:n/
เฮ็ดนา	/het.na:/
เฮ็ดบุน	/het.bun/
เฮ็ดไฮ่	/het.hai/
เฮ้ย	/hə:i/
เฮา	/hao/
เฮียง	/hi:aŋ/
เฮียน	/hi:an/
แฮง	/hɛ:ŋ/
ไฮ่	/hai/
